TA,Drug,Drug.generic,Primary.therapeutic.area,Primary.disease,Route,Budget.impact,CostNomin,CostNoeffectiveness,high.unmet.need.,STA.type...PBAC.,Eligible.patient.count,G.BA.Assessment.Date..new.,PBAC.decision.date,time.from.GBA.to.PBS.listing,First.listing.date...edited..new.
Blood Cancer,Truxima,rituximab,Oncology,Lymphoma,Parenteral,Any,No,Any,No,Original,NA,23/11/2012,26/04/2019,2503,1/10/2019
Respiratory,Ultibro Breezhaler,indacaterol + glycopyrronium bromide,Respiratory,Obstructive respiratory disorders,Inhalation,Any,Yes,Any,No,Original,NA,1/08/2014,1/03/2014,92,1/11/2014
Endocrine and metabolic diseases,Velphoro,sucroferric oxyhydroxide,Endocrine and metabolic diseases,Mineral disorders,Oral,Any,Yes,Any,No,Original,NA,1/10/2014,1/11/2014,182,1/04/2015
Blood Cancer,Venclexta,venetoclax,Oncology,Leukemia,Oral,Any,Yes,Any,No,Extension of indication,NA,1/12/2018,14/12/2018,90,1/03/2019
Blood Cancer,Venclexta,venetoclax,Oncology,Leukemia,Oral,Any,No,Any,No,Original,NA,1/01/2017,21/04/2017,789,1/03/2019
Breast cancer,Verzenios,abemaciclib,Oncology,Breast cancer,Oral,Any,Yes,Any,No,Original,NA,1/11/2018,26/04/2019,426,1/01/2020
Parkinson's disease,Xadago,safinamide,Central nervous system,Parkinson's disease,Oral,Any,Yes,Any,No,Original,NA,1/05/2015,14/12/2018,1431,1/04/2019
Lung cancer,Xalkori,crizotinib,Oncology,Lung cancer,Oral,Any,No,Any,No,Extension of indication,70,1/01/2016,15/12/2017,1096,1/01/2019
Lung cancer,Xalkori,crizotinib,Oncology,Lung cancer,Oral,Any,No,Any,No,Original,70,1/11/2012,30/11/2013,2252,1/01/2019
Prostate cancer,Xtandi,enzalutamide,Oncology,Prostate cancer,Oral,Any,Yes,Any,No,Original,NA,1/09/2013,1/07/2014,456,1/12/2014
Demyelinating disorders,Zinbryta,daclizumab,Central nervous system,Demyelinating disorders,Parenteral,Any,Yes,Any,No,Original,NA,1/08/2016,19/08/2016,273,1/05/2017
Blood Cancer,Zydelig,idelalisib,Oncology,Leukemia,Oral,Any,No,Any,No,Original,NA,1/10/2014,2/03/2015,1066,1/09/2017
Blood Cancer,Zydelig,idelalisib,Oncology,Lymphoma,Oral,Any,No,Any,No,Original,NA,1/09/2014,2/03/2015,1096,1/09/2017
Lung cancer,Zykadia,ceritinib,Oncology,Lung cancer,Oral,Any,Yes,Any,No,Original,NA,1/10/2016,16/12/2016,123,1/02/2017
Prostate cancer,Zytiga,abiraterone,Oncology,Prostate cancer,Oral,Any,No,Any,No,Extension of indication,NA,1/12/2017,21/04/2017,0,1/12/2017
Prostate cancer,Zytiga,abiraterone,Oncology,Prostate cancer,Oral,Any,No,Any,No,Extension of indication,NA,1/01/2013,1/07/2014,1795,1/12/2017
Blood Cancer,Adcetris,brentuximab vedotin,Oncology,Lymphoma,Parenteral,Any,Any,Yes,No,Extension of indication,NA,1/01/2018,17/08/2018,455,1/04/2019
Blood Cancer,Adcetris,brentuximab vedotin,Oncology,Lymphoma,Parenteral,Any,Any,No,No,Extension of indication,NA,1/08/2016,16/12/2016,243,1/04/2017
Blood Cancer,Adcetris,brentuximab vedotin,Oncology,Lymphoma,Parenteral,Any,Any,Yes,No,Original,NA,1/12/2012,2/03/2015,1582,1/04/2017
Blood Cancer,Adcetris,brentuximab vedotin,Oncology,Lymphoma,Parenteral,Any,Any,Yes,Yes,Original,NA,1/12/2012,25/04/2014,730,1/12/2014
Cardiovascular,Adempas,riociguat,Cardiovascular,Pulmonary heart diseases,Oral,Any,Any,No,No,Extension of indication,10000,1/05/2014,1/11/2014,976,1/01/2017
Lung cancer,Alecensa,alectinib,Oncology,Lung cancer,Oral,Any,Any,No,No,Original,NA,1/05/2017,18/08/2017,245,1/01/2018
Lung cancer,Alunbrig,brigatinib,Oncology,Lung cancer,Oral,Any,Any,No,No,Original,NA,1/01/2019,20/12/2019,486,1/05/2020
Skin cancer,Bavencio,avelumab,Oncology,Skin cancer,Parenteral,Any,Any,Yes,Yes,Original,NA,1/10/2017,17/08/2018,577,1/05/2019
Blood Cancer,Besponsa,inotuzumab ozogamicin,Oncology,Leukemia,Parenteral,Any,Any,No,Yes,Original,NA,1/07/2017,14/12/2018,669,1/05/2019
Blood Cancer,Blincyto,blinatumomab,Oncology,Leukemia,Parenteral,Any,Any,No,Yes,Extension of indication,NA,1/02/2019,14/06/2019,242,1/10/2019
Blood Cancer,Blincyto,blinatumomab,Oncology,Leukemia,Parenteral,Any,Any,Yes,No,Extension of indication,NA,1/12/2015,17/08/2018,1400,1/10/2019
Blood Cancer,Blincyto,blinatumomab,Oncology,Leukemia,Parenteral,Any,Any,Yes,No,Original,NA,1/12/2015,18/12/2015,517,1/05/2017
Respiratory,Bretaris Genuair,aclidinium bromide,Respiratory,Obstructive respiratory disorders,Inhalation,Any,Any,No,No,Original,NA,1/10/2012,25/04/2014,669,1/08/2014
Respiratory,Brimica Genuair,formoterol + aclidinium bromide,Respiratory,Obstructive respiratory disorders,Inhalation,Any,Any,No,No,Original,NA,1/02/2015,1/07/2015,303,1/12/2015
Renal cancer,Cabometyx,cabozantinib,Oncology,Renal cancer,Oral,Any,Any,Yes,Yes,Original,NA,1/11/2016,9/02/2018,577,1/06/2018
Derm,Cosentyx,secukinumab,Skin,Psoriasis,Parenteral,Any,Any,No,No,Original,NA,1/06/2015,1/03/2015,92,1/09/2015
Cardiovascular,Eliquis,apixaban,Cardiovascular,Embolism and thrombosis,0,Any,Any,No,No,Original,NA,1/06/2011,2/03/2015,1522,1/08/2015
Cardiovascular,Entresto,sacubitril + valsartan,Cardiovascular,Heart failure,Oral,Any,Any,Yes,No,Original,NA,1/01/2016,22/04/2016,517,1/06/2017
Skin cancer,Erivedge,vismodegib,Oncology,Skin cancer,Oral,Any,Any,Yes,Yes,Original,NA,1/08/2013,1/07/2016,1339,1/04/2017
Respiratory,Esbriet,pirfenidone,Respiratory,Restrictive lung disease,Oral,Any,Any,Yes,No,Original,10000,1/09/2011,18/11/2015,2130,1/07/2017
Endocrine and metabolic diseases,Eylea,aflibercept,Endocrine and metabolic diseases,Diabetes,Parenteral,Any,Any,Yes,No,Extension of indication,NA,1/12/2012,3/11/2014,1034,1/10/2015
Respiratory,Fasenra,benralizumab,Respiratory,Obstructive respiratory disorders,Parenteral,Any,Any,No,Yes,Original,NA,1/02/2018,20/04/2018,303,1/12/2018
Respiratory,Flutiform,formoterol + fluticasone,Respiratory,Obstructive respiratory disorders,Inhalation,Any,Any,No,No,Original,NA,1/08/2012,31/07/2013,487,1/12/2013
Endocrine and metabolic diseases,Forxiga,dapagliflozin,Endocrine and metabolic diseases,Diabetes,Oral,Any,Any,No,No,Extension of indication,10000,26/10/2016,18/08/2017,522,1/04/2018
Epilepsy,Fycompa,perampanel,Central nervous system,Epilepsy,Oral,Any,Any,No,No,Original,NA,1/09/2012,1/07/2014,791,1/11/2014
Blood Cancer,Gazyva,obinutuzumab,Oncology,Lymphoma,Parenteral,Any,Any,Yes,No,Extension of indication,NA,1/10/2017,15/12/2017,365,1/10/2018
Blood Cancer,Gazyvaro,obinutuzumab,Oncology,Lymphoma,Parenteral,Any,Any,Yes,No,Original,NA,1/10/2017,16/12/2016,365,1/10/2018
Blood Cancer,Gazyvaro,obinutuzumab,Oncology,Leukemia,Parenteral,Any,Any,Yes,No,Original,NA,1/08/2014,1/07/2014,365,1/08/2015
Sarcoma,Halaven,eribulin,Oncology,Sarcoma,Parenteral,Any,Any,Yes,Yes,Extension of indication,NA,1/06/2016,16/12/2016,548,1/12/2017
Breast cancer,Halaven,eribulin,Oncology,Breast cancer,Parenteral,Any,Any,Yes,No,Original,10000,1/05/2011,1/04/2013,1249,1/10/2014
Breast cancer,Ibrance,palbociclib,Oncology,Breast cancer,Oral,Any,Any,Yes,No,Original,NA,1/12/2016,21/04/2016,881,1/05/2019
Blood Cancer,Iclusig,ponatinib,Oncology,Leukemia,Oral,Any,Any,No,No,Extension of indication,10000,1/08/2013,1/05/2018,1857,1/09/2018
Blood Cancer,Iclusig,ponatinib,Oncology,Leukemia,Oral,Any,Any,No,Yes,Extension of indication,10000,1/08/2013,15/12/2017,1857,1/09/2018
Blood Cancer,Iclusig,ponatinib,Oncology,Leukemia,Oral,Any,Any,No,No,Original,10000,1/08/2013,11/12/2014,1857,1/09/2018
Blood Cancer,Imbruvica,ibrutinib,Oncology,Leukemia,Oral,Any,Any,Yes,No,Extension of indication,NA,1/10/2016,15/12/2017,426,1/12/2017
Blood Cancer,Imbruvica,ibrutinib,Oncology,Lymphoma,Oral,Any,Any,Yes,No,Extension of indication,NA,1/11/2014,16/12/2016,1369,1/08/2018
Blood Cancer,Imbruvica,ibrutinib,Oncology,Leukemia,Oral,Any,Any,Yes,No,Original,NA,1/11/2014,1/07/2015,1126,1/12/2017
Lung cancer,Imfinzi,durvalumab,Oncology,Lung cancer,Parenteral,Any,Any,Yes,No,Original,NA,1/10/2018,14/12/2018,517,1/03/2020
Renal cancer,Inlyta,axitinib,Oncology,Renal cancer,Oral,Any,Any,No,No,Original,9999,1/10/2012,1/11/2014,1156,1/12/2015
Renal cancer,Inlyta,axitinib,Oncology,Renal cancer,Oral,Any,Any,Yes,No,Original,9999,1/10/2012,2/12/2013,1156,1/12/2015
Endocrine and metabolic diseases,Invokana,canagliflozin,Endocrine and metabolic diseases,Diabetes,Oral,Any,Any,No,No,Original,NA,12/09/2013,1/08/2013,80,1/12/2013
Endocrine and metabolic diseases,Jardiance,empagliflozin,Endocrine and metabolic diseases,Diabetes,Oral,Any,Any,No,No,Original,NA,30/04/2014,1/08/2014,246,1/01/2015
Breast cancer,Kadcyla,trastuzumab emtansine,Oncology,Breast cancer,Parenteral,Any,Any,Yes,Yes,Extension of indication,NA,1/01/2020,20/12/2019,91,1/04/2020
Endocrine and metabolic diseases,Kalydeco,ivacaftor,Endocrine and metabolic diseases,Cystic fibrosis,Oral,Any,Any,Yes,No,Extension of indication,10000,1/12/2015,16/12/2016,517,1/05/2017
Endocrine and metabolic diseases,Kalydeco,ivacaftor,Endocrine and metabolic diseases,Cystic fibrosis,Oral,Any,Any,No,No,Extension of indication,10000,1/12/2015,1/07/2015,517,1/05/2017
Endocrine and metabolic diseases,Kalydeco,ivacaftor,Endocrine and metabolic diseases,Cystic fibrosis,0,Any,Any,No,No,Extension of indication,10000,1/09/2014,3/11/2014,91,1/12/2014
Endocrine and metabolic diseases,Kalydeco,ivacaftor,Endocrine and metabolic diseases,Cystic fibrosis,0,Any,Any,No,No,Original,10000,1/08/2012,2/12/2013,852,1/12/2014
Skin cancer,Keytruda,pembrolizumab,Oncology,Skin cancer,Parenteral,Any,Any,Yes,No,Extension of indication,NA,1/03/2017,14/12/2018,730,1/03/2019
Lung cancer,Keytruda,pembrolizumab,Oncology,Lung cancer,Parenteral,Any,Any,Yes,No,Extension of indication,NA,1/02/2017,14/12/2018,758,1/03/2019
Blood Cancer,Keytruda,pembrolizumab,Oncology,Lymphoma,Parenteral,Any,Any,Yes,No,Extension of indication,NA,1/08/2015,18/08/2017,1004,1/05/2018
Lung cancer,Keytruda,pembrolizumab,Oncology,Lung cancer,Parenteral,Any,Any,Yes,No,Extension of indication,NA,1/02/2017,21/04/2017,758,1/03/2019
Lung cancer,Keytruda,pembrolizumab,Oncology,Lung cancer,Parenteral,Any,Any,Yes,No,Extension of indication,NA,1/08/2016,16/12/2016,942,1/03/2019
Breast cancer,Kisqali,ribociclib,Oncology,Breast cancer,Oral,Any,Any,Yes,No,Original,NA,1/09/2017,18/08/2017,303,1/07/2018
Blood Cancer,Kyprolis,carfilzomib,Oncology,Plasmocytoma,Parenteral,Any,Any,Yes,No,Original,NA,1/12/2015,16/12/2016,762,1/01/2018
Liver cancer,Lenvima,lenvatinib,Oncology,Liver cancer,Oral,Any,Any,No,No,Extension of indication,NA,1/07/2015,17/08/2018,1339,1/03/2019
Thyroid cancer,Lenvima,lenvatinib,Oncology,Thyroid cancer,Oral,Any,Any,Yes,No,Original,NA,1/07/2015,18/11/2015,519,1/12/2016
Blood and immune system,Lonquex,lipegfilgrastim,Blood and immune system,Neutrophils-related disorders,Parenteral,Any,Any,No,No,Original,NA,1/09/2013,1/07/2016,1157,1/11/2016
Gastric cancer,Lonsurf,trifluridine + tipiracil,Oncology,Gastric cancer,Oral,Any,Any,Yes,Yes,Extension of indication,NA,1/10/2019,20/12/2019,244,1/06/2020
Colorectal cancer,Lonsurf,trifluridine + tipiracil,Oncology,Colorectal cancer,Oral,Any,Any,Yes,No,Original,NA,1/08/2016,21/04/2017,852,1/12/2018
Ovarian cancer,Lynparza,olaparib,Oncology,Ovarian cancer,Parenteral,Any,Any,Yes,No,Original,NA,1/06/2015,22/04/2016,611,1/02/2017
Blood Cancer,MabThera,rituximab,Oncology,Lymphoma,Parenteral,Any,Any,Yes,No,Extension of indication,NA,23/11/2012,1/07/2014,738,1/12/2014
Respiratory,Nucala,mepolizumab,Respiratory,Obstructive respiratory disorders,Parenteral,Any,Any,Yes,No,Original,NA,1/02/2016,22/04/2016,335,1/01/2017
Demyelinating disorders,Ocrevus,ocrelizumab,Central nervous system,Demyelinating disorders,Parenteral,Any,Any,Yes,No,Extension of indication,NA,1/02/2018,15/12/2017,0,1/02/2018
Demyelinating disorders,Ocrevus,ocrelizumab,Central nervous system,Demyelinating disorders,Parenteral,Any,Any,No,No,Original,NA,1/02/2018,18/08/2017,0,1/02/2018
Skin cancer,Odomzo,sonidegib,Oncology,Skin cancer,Oral,Any,Any,No,No,Original,NA,1/02/2018,15/12/2017,59,1/04/2018
Skin cancer,Opdivo,nivolumab,Oncology,Skin cancer,Parenteral,Any,Any,No,No,Extension of indication,10000,1/09/2018,20/12/2019,547,1/03/2020
Skin cancer,Opdivo,nivolumab,Oncology,Skin cancer,Parenteral,Any,Any,Yes,No,Extension of indication,10000,1/09/2018,17/08/2018,547,1/03/2020
Head and neck cancer,Opdivo,nivolumab,Oncology,Head and neck cancer,Parenteral,Any,Any,Yes,No,Extension of indication,NA,1/06/2017,15/12/2017,426,1/08/2018
Renal cancer,Opdivo,nivolumab,Oncology,Renal cancer,0,Any,Any,Yes,No,Original,NA,1/05/2016,19/08/2016,457,1/08/2017
Lung cancer,Opdivo,nivolumab,Oncology,Lung cancer,Parenteral,Any,Any,Yes,No,Original,NA,1/08/2015,22/04/2016,731,1/08/2017
Skin cancer,Opdivo,nivolumab,Oncology,Skin cancer,Parenteral,Any,Any,Yes,No,Original,10000,1/07/2015,1/12/2015,305,1/05/2016
Cardiovascular,Opsumit,macitentan,Cardiovascular,Pulmonary heart diseases,Oral,Any,Any,No,No,Original,10000,1/02/2014,1/03/2014,212,1/09/2014
Endocrine and metabolic diseases,Orkambi,lumacaftor + ivacaftor,Endocrine and metabolic diseases,Cystic fibrosis,Oral,Any,Any,Yes,No,Extension of indication,NA,1/02/2019,23/08/2019,303,1/12/2019
Endocrine and metabolic diseases,Orkambi,lumacaftor + ivacaftor,Endocrine and metabolic diseases,Cystic fibrosis,Oral,Any,Any,Yes,No,Extension of indication,NA,1/02/2018,17/08/2018,242,1/10/2018
Endocrine and metabolic diseases,Orkambi,lumacaftor + ivacaftor,Endocrine and metabolic diseases,Cystic fibrosis,Oral,Any,Any,No,No,Original,NA,1/12/2015,22/04/2016,1035,1/10/2018
Demyelinating disorders,Plegridy,peginterferon beta-1a,Central nervous system,Demyelinating disorders,Transdermal,Any,Any,No,No,Original,NA,1/08/2014,1/11/2014,212,1/03/2015
Blood Cancer,Pomalyst,pomalidomide,Oncology,Plasmocytoma,Oral,Any,Any,Yes,No,Original,NA,1/09/2013,1/07/2014,699,1/08/2015
Endocrine and metabolic diseases,Repatha,evolocumab,Endocrine and metabolic diseases,Dyslipidemia,Parenteral,Any,Any,Yes,No,Extension of indication,NA,1/09/2015,15/12/2017,1704,1/05/2020
Endocrine and metabolic diseases,Repatha,evolocumab,Endocrine and metabolic diseases,Dyslipidemia,Parenteral,Any,Any,Yes,No,Original,NA,1/09/2015,3/03/2015,457,1/12/2016
Blood Cancer,Rydapt,midostaurin,Oncology,Leukemia,Oral,Any,Any,Yes,No,Original,10000,1/10/2017,20/12/2017,426,1/12/2018
Neuroendocrine tumors,Sandostatin,octreotide,Oncology,Neuroendocrine tumors,Parenteral,Any,Any,No,No,Extension of indication,NA,1/09/2010,23/08/2019,3440,1/02/2020
Endocrine and metabolic diseases,Signifor,pasireotide,Endocrine and metabolic diseases,Pituitary gland disorders,Parenteral,Any,Any,No,No,Original,NA,1/06/2012,18/12/2015,1553,1/09/2016
Endocrine and metabolic diseases,Symdeko,tezacaftor + ivacaftor,Endocrine and metabolic diseases,Cystic fibrosis,Oral,Any,Any,Yes,No,Original,15,1/12/2018,26/04/2019,365,1/12/2019
Endocrine and metabolic diseases,Symdeko,tezacaftor + ivacaftor,Endocrine and metabolic diseases,Cystic fibrosis,Oral,Any,Any,No,No,Original,15,1/12/2018,26/04/2019,365,1/12/2019
Skin cancer,Tafinlar,dabrafenib,Oncology,Skin cancer,Oral,Any,Any,Yes,No,Original,10000,27/08/2013,31/03/2013,96,1/12/2013
Lung cancer,Tagrisso,osimertinib,Oncology,Lung cancer,Oral,Any,Any,Yes,No,Original,NA,1/07/2018,15/12/2017,215,1/02/2019
Derm,Taltz,ixekizumab,Skin,Psoriasis,Parenteral,Any,Any,No,No,Original,NA,6/09/2016,19/08/2016,148,1/02/2017
Lung cancer,Tecentriq,atezolizumab,Oncology,Lung cancer,Parenteral,Any,Any,Yes,No,Extension of indication,NA,1/10/2019,23/08/2019,152,1/03/2020
Lung cancer,Tecentriq,atezolizumab,Oncology,Lung cancer,Parenteral,Any,Any,Yes,No,Extension of indication,NA,1/10/2019,26/04/2019,0,1/10/2019
Lung cancer,Tecentriq,atezolizumab,Oncology,Lung cancer,Parenteral,Any,Any,No,No,Original,NA,1/10/2017,1/11/2017,182,1/04/2018
Respiratory,Trelegy Ellipta,fluticasone furoate + umeclidinium + vilanterol,Respiratory,Obstructive respiratory disorders,Inhalation,Any,Any,No,No,Original,NA,1/03/2018,9/02/2018,92,1/06/2018
Derm,Tremfya,guselkumab,Skin,Psoriasis,Parenteral,Any,Any,No,No,Original,NA,1/12/2017,20/04/2018,427,1/02/2019
Endocrine and metabolic diseases,Trulicity,dulaglutide,Endocrine and metabolic diseases,Diabetes,Parenteral,Any,Any,No,No,Original,NA,1/02/2015,15/12/2017,1216,1/06/2018
Blood Cancer,Truxima,rituximab,Oncology,Lymphoma,Parenteral,Any,Any,No,No,Original,NA,23/11/2012,26/04/2019,2503,1/10/2019
Respiratory,Ultibro Breezhaler,indacaterol + glycopyrronium bromide,Respiratory,Obstructive respiratory disorders,Inhalation,Any,Any,No,No,Original,NA,1/08/2014,1/03/2014,92,1/11/2014
Endocrine and metabolic diseases,Velphoro,sucroferric oxyhydroxide,Endocrine and metabolic diseases,Mineral disorders,Oral,Any,Any,No,No,Original,NA,1/10/2014,1/11/2014,182,1/04/2015
Blood Cancer,Venclexta,venetoclax,Oncology,Leukemia,Oral,Any,Any,No,No,Extension of indication,NA,1/12/2018,14/12/2018,90,1/03/2019
Blood Cancer,Venclexta,venetoclax,Oncology,Leukemia,Oral,Any,Any,Yes,No,Original,NA,1/01/2017,21/04/2017,789,1/03/2019
Breast cancer,Verzenios,abemaciclib,Oncology,Breast cancer,Oral,Any,Any,No,No,Original,NA,1/11/2018,26/04/2019,426,1/01/2020
Parkinson's disease,Xadago,safinamide,Central nervous system,Parkinson's disease,Oral,Any,Any,No,No,Original,NA,1/05/2015,14/12/2018,1431,1/04/2019
Lung cancer,Xalkori,crizotinib,Oncology,Lung cancer,Oral,Any,Any,Yes,No,Extension of indication,70,1/01/2016,15/12/2017,1096,1/01/2019
Lung cancer,Xalkori,crizotinib,Oncology,Lung cancer,Oral,Any,Any,Yes,No,Original,70,1/11/2012,30/11/2013,2252,1/01/2019
Prostate cancer,Xtandi,enzalutamide,Oncology,Prostate cancer,Oral,Any,Any,No,No,Original,NA,1/09/2013,1/07/2014,456,1/12/2014
Demyelinating disorders,Zinbryta,daclizumab,Central nervous system,Demyelinating disorders,Parenteral,Any,Any,No,No,Original,NA,1/08/2016,19/08/2016,273,1/05/2017
Blood Cancer,Zydelig,idelalisib,Oncology,Leukemia,Oral,Any,Any,Yes,No,Original,NA,1/10/2014,2/03/2015,1066,1/09/2017
Blood Cancer,Zydelig,idelalisib,Oncology,Lymphoma,Oral,Any,Any,Yes,No,Original,NA,1/09/2014,2/03/2015,1096,1/09/2017
Lung cancer,Zykadia,ceritinib,Oncology,Lung cancer,Oral,Any,Any,No,No,Original,NA,1/10/2016,16/12/2016,123,1/02/2017
Prostate cancer,Zytiga,abiraterone,Oncology,Prostate cancer,Oral,Any,Any,No,No,Extension of indication,NA,1/12/2017,21/04/2017,0,1/12/2017
Prostate cancer,Zytiga,abiraterone,Oncology,Prostate cancer,Oral,Any,Any,Yes,No,Extension of indication,NA,1/01/2013,1/07/2014,1795,1/12/2017
Blood Cancer,Adcetris,brentuximab vedotin,Oncology,Lymphoma,Parenteral,Any,No,Yes,Any,Extension of indication,NA,1/01/2018,17/08/2018,455,1/04/2019
Blood Cancer,Adcetris,brentuximab vedotin,Oncology,Lymphoma,Parenteral,Any,No,No,Any,Extension of indication,NA,1/08/2016,16/12/2016,243,1/04/2017
Blood Cancer,Adcetris,brentuximab vedotin,Oncology,Lymphoma,Parenteral,Any,No,Yes,Any,Original,NA,1/12/2012,2/03/2015,1582,1/04/2017
Blood Cancer,Adcetris,brentuximab vedotin,Oncology,Lymphoma,Parenteral,Any,No,Yes,Any,Original,NA,1/12/2012,25/04/2014,730,1/12/2014
Cardiovascular,Adempas,riociguat,Cardiovascular,Pulmonary heart diseases,Oral,Any,No,No,Any,Extension of indication,10000,1/05/2014,1/11/2014,976,1/01/2017
Lung cancer,Alecensa,alectinib,Oncology,Lung cancer,Oral,Any,Yes,No,Any,Original,NA,1/05/2017,18/08/2017,245,1/01/2018
Lung cancer,Alunbrig,brigatinib,Oncology,Lung cancer,Oral,Any,Yes,No,Any,Original,NA,1/01/2019,20/12/2019,486,1/05/2020
Skin cancer,Bavencio,avelumab,Oncology,Skin cancer,Parenteral,Any,No,Yes,Any,Original,NA,1/10/2017,17/08/2018,577,1/05/2019
Blood Cancer,Besponsa,inotuzumab ozogamicin,Oncology,Leukemia,Parenteral,Any,Yes,No,Any,Original,NA,1/07/2017,14/12/2018,669,1/05/2019
Blood Cancer,Blincyto,blinatumomab,Oncology,Leukemia,Parenteral,Any,No,No,Any,Extension of indication,NA,1/02/2019,14/06/2019,242,1/10/2019
Blood Cancer,Blincyto,blinatumomab,Oncology,Leukemia,Parenteral,Any,No,Yes,Any,Extension of indication,NA,1/12/2015,17/08/2018,1400,1/10/2019
Blood Cancer,Blincyto,blinatumomab,Oncology,Leukemia,Parenteral,Any,No,Yes,Any,Original,NA,1/12/2015,18/12/2015,517,1/05/2017
Respiratory,Bretaris Genuair,aclidinium bromide,Respiratory,Obstructive respiratory disorders,Inhalation,Any,Yes,No,Any,Original,NA,1/10/2012,25/04/2014,669,1/08/2014
Respiratory,Brimica Genuair,formoterol + aclidinium bromide,Respiratory,Obstructive respiratory disorders,Inhalation,Any,Yes,No,Any,Original,NA,1/02/2015,1/07/2015,303,1/12/2015
Renal cancer,Cabometyx,cabozantinib,Oncology,Renal cancer,Oral,Any,Yes,Yes,Any,Original,NA,1/11/2016,9/02/2018,577,1/06/2018
Derm,Cosentyx,secukinumab,Skin,Psoriasis,Parenteral,Any,Yes,No,Any,Original,NA,1/06/2015,1/03/2015,92,1/09/2015
Cardiovascular,Eliquis,apixaban,Cardiovascular,Embolism and thrombosis,0,Any,No,No,Any,Original,NA,1/06/2011,2/03/2015,1522,1/08/2015
Cardiovascular,Entresto,sacubitril + valsartan,Cardiovascular,Heart failure,Oral,Any,No,Yes,Any,Original,NA,1/01/2016,22/04/2016,517,1/06/2017
Skin cancer,Erivedge,vismodegib,Oncology,Skin cancer,Oral,Any,No,Yes,Any,Original,NA,1/08/2013,1/07/2016,1339,1/04/2017
Respiratory,Esbriet,pirfenidone,Respiratory,Restrictive lung disease,Oral,Any,No,Yes,Any,Original,10000,1/09/2011,18/11/2015,2130,1/07/2017
Endocrine and metabolic diseases,Eylea,aflibercept,Endocrine and metabolic diseases,Diabetes,Parenteral,Any,Yes,Yes,Any,Extension of indication,NA,1/12/2012,3/11/2014,1034,1/10/2015
Respiratory,Fasenra,benralizumab,Respiratory,Obstructive respiratory disorders,Parenteral,Any,Yes,No,Any,Original,NA,1/02/2018,20/04/2018,303,1/12/2018
Respiratory,Flutiform,formoterol + fluticasone,Respiratory,Obstructive respiratory disorders,Inhalation,Any,Yes,No,Any,Original,NA,1/08/2012,31/07/2013,487,1/12/2013
Endocrine and metabolic diseases,Forxiga,dapagliflozin,Endocrine and metabolic diseases,Diabetes,Oral,Any,Yes,No,Any,Extension of indication,10000,26/10/2016,18/08/2017,522,1/04/2018
Epilepsy,Fycompa,perampanel,Central nervous system,Epilepsy,Oral,Any,Yes,No,Any,Original,NA,1/09/2012,1/07/2014,791,1/11/2014
Blood Cancer,Gazyva,obinutuzumab,Oncology,Lymphoma,Parenteral,Any,No,Yes,Any,Extension of indication,NA,1/10/2017,15/12/2017,365,1/10/2018
Blood Cancer,Gazyvaro,obinutuzumab,Oncology,Lymphoma,Parenteral,Any,No,Yes,Any,Original,NA,1/10/2017,16/12/2016,365,1/10/2018
Blood Cancer,Gazyvaro,obinutuzumab,Oncology,Leukemia,Parenteral,Any,No,Yes,Any,Original,NA,1/08/2014,1/07/2014,365,1/08/2015
Sarcoma,Halaven,eribulin,Oncology,Sarcoma,Parenteral,Any,No,Yes,Any,Extension of indication,NA,1/06/2016,16/12/2016,548,1/12/2017
Breast cancer,Halaven,eribulin,Oncology,Breast cancer,Parenteral,Any,No,Yes,Any,Original,10000,1/05/2011,1/04/2013,1249,1/10/2014
Breast cancer,Ibrance,palbociclib,Oncology,Breast cancer,Oral,Any,No,Yes,Any,Original,NA,1/12/2016,21/04/2016,881,1/05/2019
Blood Cancer,Iclusig,ponatinib,Oncology,Leukemia,Oral,Any,No,No,Any,Extension of indication,10000,1/08/2013,1/05/2018,1857,1/09/2018
Blood Cancer,Iclusig,ponatinib,Oncology,Leukemia,Oral,Any,No,No,Any,Extension of indication,10000,1/08/2013,15/12/2017,1857,1/09/2018
Blood Cancer,Iclusig,ponatinib,Oncology,Leukemia,Oral,Any,Yes,No,Any,Original,10000,1/08/2013,11/12/2014,1857,1/09/2018
Blood Cancer,Imbruvica,ibrutinib,Oncology,Leukemia,Oral,Any,No,Yes,Any,Extension of indication,NA,1/10/2016,15/12/2017,426,1/12/2017
Blood Cancer,Imbruvica,ibrutinib,Oncology,Lymphoma,Oral,Any,No,Yes,Any,Extension of indication,NA,1/11/2014,16/12/2016,1369,1/08/2018
Blood Cancer,Imbruvica,ibrutinib,Oncology,Leukemia,Oral,Any,No,Yes,Any,Original,NA,1/11/2014,1/07/2015,1126,1/12/2017
Lung cancer,Imfinzi,durvalumab,Oncology,Lung cancer,Parenteral,Any,No,Yes,Any,Original,NA,1/10/2018,14/12/2018,517,1/03/2020
Renal cancer,Inlyta,axitinib,Oncology,Renal cancer,Oral,Any,Yes,No,Any,Original,9999,1/10/2012,1/11/2014,1156,1/12/2015
Renal cancer,Inlyta,axitinib,Oncology,Renal cancer,Oral,Any,No,Yes,Any,Original,9999,1/10/2012,2/12/2013,1156,1/12/2015
Endocrine and metabolic diseases,Invokana,canagliflozin,Endocrine and metabolic diseases,Diabetes,Oral,Any,Yes,No,Any,Original,NA,12/09/2013,1/08/2013,80,1/12/2013
